2026년 연간 지역축제 개최 계획,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
연번,광역자치단체명,기초자치단체명,축제명,축제 유형,개최 장소,,,,,개최기간,,,,,,,,개최 주기,"최초
개최연도",예산(백만원),,,,"국비지원
부처명",방문객수(前년),,,,,축제 주최 전담조직,,,담당자,,,,,비고
,,,,,장소명,축제 유형,,,,시작일,,,종료일,,,"총
일수",비고,,,합계,국비,지방비,"기타
(민간 등)",,전체,내국인(명),외국인(명),계측 방법,비고,전담조직명,조직형태,설립근거,소속,부서명,직급/직책,성명,연락처,비고
,,,,,장소명,축제 유형,시도,시군구,읍면동,년,월,일,년,월,일,,,,,,,,,,,,,,,,,,,,,,,
49,01. 서울,강북구,제3회 공예문화축제,01. 문화예술,강북문화예술회관,03. 수변형,01. 서울,강북구,인수동,2026,10,,2026,10,,2,미정,01. 매년,2024,50,0,50,0,해당없음,"3,655","3,655",0,01. 계측,유인,강북구청 지역경제과,01. 정부/지자체,,강북구청,지역경제과,주무관,주세영,02-901-6443,
50,01. 서울,강북구,2026 강북 백맥축제,01. 문화예술,강북구 일대,03. 수변형,01. 서울,강북구,-,2026,9,4,2026,9,5,2,,01. 매년,2023,291,0,291,0,해당없음,"44,894","44,894",0,01. 계측,유인,강북구청 지역경제과,01. 정부/지자체,,강북구청,지역경제과,주무관,김대현,02-901-7253,
51,01. 서울,강북구,상권과 함께하는 크리스마스 마켓,03. 주민화합,관내 상권지역 일대,05. 기타,01. 서울,강북구,-,2026,12,,2026,12,,2,미정,01. 매년,2023,72,0,72,0,해당없음,"56,870","56,870",0,01. 계측,유인,강북구청 지역경제과,01. 정부/지자체,,강북구청,지역경제과,주무관,이혜영,02-901-6452,
52,01. 서울,용산구,2026년 이태원 지구촌 축제,01. 문화예술,이태원관광특구 일원,05. 기타,01. 서울,용산구,이태원동,2026,,,2026,,,2,미정,01. 매년,2001,"3,000",0,"3,000",0,해당없음,최근 미개최,최근 미개최,최근 미개최,04. 기타,최근 미개최,서울 용산구,01. 정부/지자체,,용산구청,관광체육과,주무관,김혜민,02-2199-7553,
53,01. 서울,종로구,제14회 자문밖문화축제,01. 문화예술,자문밖 일원,05. 기타,01. 서울,종로구,-,2026,9,,2026,9,,5,미정,01. 매년,2013,75,0,68,7,해당없음,"3,500","3,500",모름,99. 무응답,,"(사)자문밖문화포럼
(공모 선정 단체)",05. 민간 협/단체,문화체육관광부 및 국가유산청 소관 비영리법인의 설립 및 감독에 관한 규칙,종로구청,문화과,주무관,이미영,02-2148-1822,
54,01. 서울,종로구,2026  대학로 차 없는 거리 축제,01. 문화예술,대학로 일원,01. 마을형,01. 서울,종로구,-,2026,,,2026,,,,미정,01. 매년,1985,200,0,200,0,해당없음,"72,000","72,000",모름,99. 무응답,,종로구청 문화과,01. 정부/지자체,서울특별시 문화지구 관리 및 육성에 관한 조례,종로구청,문화과,주무관,송서현,02-2148-1812,
55,01. 서울,종로구,2026 D.FESTA 대학로 거리공연축제,01. 문화예술,대학로 일원,01. 마을형,01. 서울,종로구,-,2026,,,2026,,,,미정,01. 매년,2006,150,0,150,0,해당없음,"3,000","3,000",모름,99. 무응답,,(사)한국소극장협회,05. 민간 협/단체,자생 민간조직(문화분야 비영리법인),종로구청,문화과,주무관,송서현,02-2148-1812,
56,01. 서울,종로구,2026 대학로 소나무길 거리예술제,01. 문화예술,대학로 일원,01. 마을형,01. 서울,종로구,-,2026,,,2026,,,,미정,01. 매년,2017,20,0,20,0,해당없음,"2,000","2,000",모름,99. 무응답,,종로구청 문화과,01. 정부/지자체,서울특별시 문화지구 관리 및 육성에 관한 조례,종로구청,문화과,주무관,송서현,02-2148-1812,
57,01. 서울,종로구,2026 아시테지 어린이가행복한대학로,01. 문화예술,대학로 일원,01. 마을형,01. 서울,종로구,-,2026,,,2026,,,,미정,01. 매년,1984,15,0,15,0,해당없음,"2,000","2,000",모름,99. 무응답,,(사)국제아동청소년연극협회 한국본부,05. 민간 협/단체,자생 민간조직(문화분야 비영리법인),종로구청,문화과,주무관,송서현,02-2148-1812,
58,01. 서울,종로구,서울연극제,01. 문화예술,대학로 일원,01. 마을형,01. 서울,종로구,-,2026,,,2026,,,,미정,01. 매년,1977,0,0,0,0,해당없음,"5,000","5,000",모름,99. 무응답,,(사)서울연극협회,05. 민간 협/단체,자생 민간조직(문화분야 비영리법인),종로구청,문화과,주무관,송서현,02-2148-1812,
59,01. 서울,종로구,인사동 엔틱&아트페어,04. 전통역사,인사동 일대,05. 기타,01. 서울,종로구,-,2026,9,,2026,9,,30,미정,01. 매년,1987,240,0,240,0,해당없음,"50,000",모름,모름,99. 무응답,,(사)인사전통문화보존회,05. 민간 협/단체,서울특별시 문화지구 관리 및 육성에 관한 조례,종로구청,문화과,주무관,박재현,02-2148-1805,
